Crop,Year,Yield,Fertilizer,Pesticide,Precipitation,Temperature_avg,Temperature_max
Rice,2005,50653,1787302,39171.9,727.52,21.28,28.85
Rice,2006,47857,1612814,38402.66,816.78,21.45,29.12
Rice,2007,41536,1671883,50894.34,782.84,21.09,28.62
Rice,2008,44619,1318799,50154.53,797.86,21.06,28.71
Rice,2009,48502,1585469,50327.9,686.9,21.55,29.25
Rice,2010,51901,1658153,52305.13,827.37,20.78,28.48
Rice,2011,50962,1917412.31,53219.63,696.18,21.59,29.57
Rice,2012,56231,1912483.57,49213.67,710.26,21.66,29.38
Rice,2013,54252,2072432.48,47551.15,931.07,21.16,28.73
Rice,2014,57123,2004834.22,43028.74,866.07,21.39,29.05
Rice,2015,58078,1793014.46,48292.99,765.58,21.54,29
Rice,2016,61345,2186326.67,47421.33,801.73,21.75,29.36
Rice,2017,63900,2139573.61,50801.94,795.08,22.03,29.75
Rice,2018,62849,2140490.9,53144.44,783.02,21.66,29.18
Rice,2019,63663,2086911.73,48989.2,721.02,21.88,29.46
Rice,2020,62107,2139664.12,41681.11,691.92,22.08,29.92
Wheat,1990,42143,1798400,26624.98,821.09,20.96,28.43
Wheat,1991,41272,1619400,26624.98,754.55,20.9,28.45
Wheat,1992,39530,1616000,26624.98,779.3,20.68,28.04
Wheat,1993,40821,1591900,26624.98,773.06,20.96,28.55
Wheat,1994,43034,1647900,26624.98,657.44,21.38,29.02
Wheat,1995,37320,1286000,26624.98,758.11,21.31,29
Wheat,1996,41706,1636400,26624.98,721.17,21.17,29.12
Wheat,1997,47347,1644100,26624.98,736.22,20.91,28.59
Wheat,1998,42077,1804300,26624.98,783.58,21.44,29.3
Wheat,1999,46310,1776000,26624.98,789.05,21,28.68
Wheat,2000,49355,1832000,26624.98,725.73,21.17,28.74
Wheat,2001,47661,1865378,23371.7,691.58,21,28.48
Wheat,2002,50999,1591950.2,11535.83,732.77,21.19,28.72
Wheat,2003,44912,1588545.2,16285.16,777.19,21.26,28.73
Wheat,2004,44871,1558544,18507.68,844.65,20.98,28.42
Wheat,2005,47517,1787302,39171.9,727.52,21.28,28.85
Wheat,2006,52274,1612814,38402.66,816.78,21.45,29.12
Wheat,2007,50824,1671883,50894.34,782.84,21.09,28.62
Wheat,2008,50134,1318799,50154.53,797.86,21.06,28.71
Wheat,2009,49688,1585469,50327.9,686.9,21.55,29.25
Wheat,2010,54185,1658153,52305.13,827.37,20.78,28.48
Wheat,2011,54778,1917412.31,53219.63,696.18,21.59,29.57
Wheat,2012,56568,1912483.57,49213.67,710.26,21.66,29.38
Wheat,2013,52934,2072432.48,47551.15,931.07,21.16,28.73
Wheat,2014,51935,2004834.22,43028.74,866.07,21.39,29.05
Wheat,2015,45256,1793014.46,48292.99,765.58,21.54,29
Wheat,2016,53388,2186326.67,47421.33,801.73,21.75,29.36
Wheat,2017,52967,2139573.61,50801.94,795.08,22.03,29.75
Wheat,2018,54373,2140490.9,53144.44,783.02,21.66,29.18
Wheat,2019,55308,2086911.73,48989.2,721.02,21.88,29.46
Wheat,2020,53212,2139664.12,41681.11,691.92,22.08,29.92
